"filename", "language", "Python", "C++", "Docker", "Markdown", "CUDA C++", "JSON", "YAML", "comment", "blank", "total"
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\recv_task.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\reduction_task.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 3, 9, 45
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\samples\allreduce_sample.cpp", "C++", 0, 136, 0, 0, 0, 0, 0, 2, 29, 167
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\samples\cuda_channel.cpp", "C++", 0, 94, 0, 0, 0, 0, 0, 17, 10, 121
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\samples\cuda_task.cpp", "C++", 0, 81, 0, 0, 0, 0, 0, 3, 15, 99
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\samples\handle_manager.cpp", "C++", 0, 85, 0, 0, 0, 0, 0, 20, 22, 127
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\samples\ring_allreduce_sample.cpp", "C++", 0, 221, 0, 0, 0, 0, 0, 17, 32, 270
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\scale_task.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 6, 10, 49
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\send_task.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 2, 3, 24
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\send_task.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task.cpp", "C++", 0, 71, 0, 0, 0, 0, 0, 3, 13, 87
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task.hpp", "C++", 0, 37, 0, 0, 0, 0, 0, 28, 16, 81
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task_manager.cpp", "C++", 0, 28, 0, 0, 0, 0, 0, 2, 8, 38
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task_manager.hpp", "C++", 0, 42, 0, 0, 0, 0, 0, 22, 13, 77
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task_sched.cpp", "C++", 0, 124, 0, 0, 0, 0, 0, 29, 31, 184
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\task_sched.hpp", "C++", 0, 36, 0, 0, 0, 0, 0, 49, 16, 101
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\channel\test_cpu_channel.cpp", "C++", 0, 92, 0, 0, 0, 0, 0, 7, 9, 108
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\cuda_ipc\test_cuda_channel.cpp", "C++", 0, 74, 0, 0, 0, 0, 0, 11, 10, 95
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_poll_executor.cpp", "C++", 0, 96, 0, 0, 0, 0, 0, 13, 22, 131
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_reduction_task.cpp", "C++", 0, 340, 0, 0, 0, 0, 0, 2, 76, 418
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_ring_buffer.cpp", "C++", 0, 207, 0, 0, 0, 0, 0, 20, 13, 240
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_scale_task.cpp", "C++", 0, 227, 0, 0, 0, 0, 0, 2, 54, 283
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_semaphore.cpp", "C++", 0, 102, 0, 0, 0, 0, 0, 18, 11, 131
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_send_recv_task.cpp", "C++", 0, 98, 0, 0, 0, 0, 0, 3, 11, 112
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_shared_memory.cpp", "C++", 0, 57, 0, 0, 0, 0, 0, 5, 8, 70
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_task.cpp", "C++", 0, 43, 0, 0, 0, 0, 0, 3, 8, 54
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_task_manager.cpp", "C++", 0, 113, 0, 0, 0, 0, 0, 8, 23, 144
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_task_sched.cpp", "C++", 0, 174, 0, 0, 0, 0, 0, 25, 35, 234
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_thread_safe_queue.cpp", "C++", 0, 58, 0, 0, 0, 0, 0, 2, 16, 76
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_worker.cpp", "C++", 0, 69, 0, 0, 0, 0, 0, 2, 9, 80
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\test_worker_sched.cpp", "C++", 0, 68, 0, 0, 0, 0, 0, 3, 18, 89
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\utils\utils.cpp", "C++", 0, 12, 0, 0, 0, 0, 0, 2, 3, 17
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\test\utils\utils.hpp", "C++", 0, 4, 0, 0, 0, 0, 0, 8, 2, 14
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\ring_buffer.cpp", "C++", 0, 69, 0, 0, 0, 0, 0, 5, 10, 84
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\ring_buffer.hpp", "C++", 0, 58, 0, 0, 0, 0, 0, 32, 16, 106
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\semaphore_wrapper.cpp", "C++", 0, 120, 0, 0, 0, 0, 0, 11, 14, 145
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\semaphore_wrapper.hpp", "C++", 0, 28, 0, 0, 0, 0, 0, 26, 10, 64
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\shared_memory.cpp", "C++", 0, 106, 0, 0, 0, 0, 0, 9, 10, 125
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\shared_memory.hpp", "C++", 0, 20, 0, 0, 0, 0, 0, 9, 6, 35
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\utils\thread_safe_queue.hpp", "C++", 0, 49, 0, 0, 0, 0, 0, 22, 9, 80
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\worker.cpp", "C++", 0, 77, 0, 0, 0, 0, 0, 3, 13, 93
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\worker.hpp", "C++", 0, 37, 0, 0, 0, 0, 0, 2, 12, 51
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\worker_sched.cpp", "C++", 0, 80, 0, 0, 0, 0, 0, 6, 13, 99
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\executor\worker_sched.hpp", "C++", 0, 31, 0, 0, 0, 0, 0, 16, 14, 61
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\session.cpp", "C++", 0, 232, 0, 0, 0, 0, 0, 14, 28, 274
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\session.hpp", "C++", 0, 51, 0, 0, 0, 0, 0, 5, 10, 66
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\test\plan\0\plan.json", "JSON", 0, 0, 0, 0, 0, 7776, 0, 0, 0, 7776
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\test\plan\1\plan.json", "JSON", 0, 0, 0, 0, 0, 7776, 0, 0, 0, 7776
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\test\superscaler_op_test.cc", "C++", 0, 329, 0, 0, 0, 0, 0, 2, 22, 353
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\test\superscaler_rt_test.cc", "C++", 0, 169, 0, 0, 0, 0, 0, 1, 28, 198
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\util.cpp", "C++", 0, 64, 0, 0, 0, 0, 0, 4, 8, 76
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\common_runtime\util.hpp", "C++", 0, 71, 0, 0, 0, 0, 0, 2, 16, 89
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\superscaler_pywrap.cpp", "C++", 0, 41, 0, 0, 0, 0, 0, 4, 12, 57
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\superscaler_pywrap.hpp", "C++", 0, 16, 0, 0, 0, 0, 0, 10, 10, 36
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\tensorflow\gpu_util.hpp", "C++", 0, 58, 0, 0, 0, 0, 0, 34, 16, 108
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\tensorflow\operation.cpp", "C++", 0, 254, 0, 0, 0, 0, 0, 18, 43, 315
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\backend\tensorflow\operation.hpp", "C++", 0, 16, 0, 0, 0, 0, 0, 10, 10, 36
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\README.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 30, 84
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2, 3, 7
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2, 3, 7
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\computation_device.py", "Python", 31, 0, 0, 0, 0, 0, 0, 2, 12, 45
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\device.py", "Python", 21, 0, 0, 0, 0, 0, 0, 10, 9, 40
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\device_factory.py", "Python", 18, 0, 0, 0, 0, 0, 0, 4, 8, 30
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\fifo_device.py", "Python", 20, 0, 0, 0, 0, 0, 0, 10, 8, 38
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\network_simulator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\network_simulator\flow.py", "Python", 68, 0, 0, 0, 0, 0, 0, 6, 14, 88
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\network_simulator\link.py", "Python", 46, 0, 0, 0, 0, 0, 0, 4, 13, 63
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\network_simulator\link_manager.py", "Python", 101, 0, 0, 0, 0, 0, 0, 15, 15, 131
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\network_simulator\network_simulator.py", "Python", 202, 0, 0, 0, 0, 0, 0, 35, 23, 260
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\node.py", "Python", 141, 0, 0, 0, 0, 0, 0, 40, 44, 225
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\simulator.py", "Python", 267, 0, 0, 0, 0, 0, 0, 28, 46, 341
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\tensor.py", "Python", 61, 0, 0, 0, 0, 0, 0, 5, 12, 78
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\ai_simulator\simulator\utility.py", "Python", 26, 0, 0, 0, 0, 0, 0, 6, 8, 40
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\__init__.py", "Python", 16, 0, 0, 0, 0, 0, 0, 4, 8, 28
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\adapter\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\adapter\adapter.py", "Python", 3, 0, 0, 0, 0, 0, 0, 2, 2, 7
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\adapter\ai_simulator_adapter.py", "Python", 161, 0, 0, 0, 0, 0, 0, 40, 28, 229
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\allreduce_plan.py", "Python", 73, 0, 0, 0, 0, 0, 0, 7, 15, 95
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\node_list.py", "Python", 117, 0, 0, 0, 0, 0, 0, 2, 19, 138
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\DAG_parser.py", "Python", 8, 0, 0, 0, 0, 0, 0, 8, 7, 23
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\import json.py", "Python", 39, 0, 0, 0, 0, 0, 0, 4, 14, 57
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\profiler\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\profiler\database_backend.py", "Python", 67, 0, 0, 0, 0, 0, 0, 8, 19, 94
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\profiler\database_loader.py", "Python", 139, 0, 0, 0, 0, 0, 0, 2, 17, 158
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\profiler\profiler.py", "Python", 35, 0, 0, 0, 0, 0, 0, 4, 9, 48
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\tf_parser.py", "Python", 503, 0, 0, 0, 0, 0, 0, 44, 80, 627
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\parser\torch_parser.py", "Python", 77, 0, 0, 0, 0, 0, 0, 21, 19, 117
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\plan.py", "Python", 94, 0, 0, 0, 0, 0, 0, 6, 17, 117
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\plan_generator.py", "Python", 53, 0, 0, 0, 0, 0, 0, 14, 18, 85
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\plan_manager.py", "Python", 29, 0, 0, 0, 0, 0, 0, 12, 8, 49
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\plan_mapper.py", "Python", 81, 0, 0, 0, 0, 0, 0, 17, 22, 120
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\plan_pool.py", "Python", 63, 0, 0, 0, 0, 0, 0, 2, 12, 77
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\raw_allreduce_plan.py", "Python", 6, 0, 0, 0, 0, 0, 0, 2, 7, 15
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\recursive_halving_plan.py", "Python", 153, 0, 0, 0, 0, 0, 0, 35, 33, 221
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\reduce_broadcast_allreduce_plan.py", "Python", 85, 0, 0, 0, 0, 0, 0, 16, 18, 119
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\hardware.py", "Python", 132, 0, 0, 0, 0, 0, 0, 9, 29, 170
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\link.py", "Python", 73, 0, 0, 0, 0, 0, 0, 4, 18, 95
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\resource.py", "Python", 9, 0, 0, 0, 0, 0, 0, 2, 6, 17
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\resource_pool.py", "Python", 221, 0, 0, 0, 0, 0, 0, 17, 39, 277
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\router.py", "Python", 160, 0, 0, 0, 0, 0, 0, 20, 29, 209
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\resources\server.py", "Python", 60, 0, 0, 0, 0, 0, 0, 3, 13, 76
"e:\HUBOther\ML_Sys_Merak\SuperScaler\src\superscaler\plan_gen\plan\ring_allreduce_plan.py", "Python", 86, 0, 0, 0, 0, 0, 0, 23, 17, 126
"e:\HUBOther\ML_Sys_Merak\ai_simulator\Dockerfile", "Docker", 0, 0, -23, 0, 0, 0, 0, -10, -9, -42
"e:\HUBOther\ML_Sys_Merak\ai_simulator\README.md", "Markdown", 0, 0, 0, -89, 0, 0, 0, 0, -42, -131
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\DDP.json", "JSON", 0, 0, 0, 0, 0, -65552, 0, 0, 0, -65552
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\README.md", "Markdown", 0, 0, 0, -58, 0, 0, 0, 0, -30, -88
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\benchmark_tools.py", "Python", -206, 0, 0, 0, 0, 0, 0, -26, -45, -277
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\config\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, -28, 0, -6, -34
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\config\config_torch.yaml", "YAML", 0, 0, 0, 0, 0, 0, -21, -84, -9, -114
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\resource_pool.yaml", "YAML", 0, 0, 0, 0, 0, 0, -15554, -1, -4, -15559
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\baseline.json", "JSON", 0, 0, 0, 0, 0, -50, 0, 0, 0, -50
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\alexnet_db.json", "JSON", 0, 0, 0, 0, 0, -322, 0, 0, 0, -322
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\deepspeech_db.json", "JSON", 0, 0, 0, 0, 0, -502, 0, 0, 0, -502
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\inception3_db.json", "JSON", 0, 0, 0, 0, 0, -1730, 0, 0, 0, -1730
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\lstm_db.json", "JSON", 0, 0, 0, 0, 0, -162, 0, 0, 0, -162
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\nasnet_db.json", "JSON", 0, 0, 0, 0, 0, -1706, 0, 0, 0, -1706
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\resnet50_db.json", "JSON", 0, 0, 0, 0, 0, -998, 0, 0, 0, -998
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\seq2seq_db.json", "JSON", 0, 0, 0, 0, 0, -166, 0, 0, 0, -166
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\tensorflow\database\vgg16_db.json", "JSON", 0, 0, 0, 0, 0, -542, 0, 0, 0, -542
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\baseline.json", "JSON", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b16_db.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b16_var.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b1_db.json", "JSON", 0, 0, 0, 0, 0, -1943, 0, 0, 0, -1943
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b1_var.json", "JSON", 0, 0, 0, 0, 0, -1943, 0, 0, 0, -1943
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b2_db.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b2_var.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b4_db.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
"e:\HUBOther\ML_Sys_Merak\ai_simulator\simulator_benchmark\data\torch\database\GPT2_b4_var.json", "JSON", 0, 0, 0, 0, 0, -1979, 0, 0, 0, -1979
